<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
US1.BUD;60;20210802;170000;63.5100000;12729
US1.BUD;60;20210802;180000;63.3400000;17228
US1.BUD;60;20210802;190000;63.2300000;19103
US1.BUD;60;20210802;200000;63.2400000;15273
US1.BUD;60;20210802;210000;63.2500000;14356
US1.BUD;60;20210802;220000;63.0200000;9619
US1.BUD;60;20210802;230000;62.9500000;11096
US1.BUD;60;20210803;170000;62.1200000;11340
US1.BUD;60;20210803;180000;62.1400000;31987
US1.BUD;60;20210803;190000;62.1800000;18502
US1.BUD;60;20210803;200000;62.4000000;5211
US1.BUD;60;20210803;210000;62.3300000;7100
US1.BUD;60;20210803;220000;62.2800000;10867
US1.BUD;60;20210803;230000;62.5100000;24609
US1.BUD;60;20210804;170000;62.1500000;6989
US1.BUD;60;20210804;180000;61.8200000;12276
US1.BUD;60;20210804;190000;61.7900000;14717
US1.BUD;60;20210804;200000;61.5300000;9600
US1.BUD;60;20210804;210000;61.5800000;8061
US1.BUD;60;20210804;220000;61.5400000;9325
US1.BUD;60;20210804;230000;61.3400000;36129
US1.BUD;60;20210805;170000;61.8300000;9437
US1.BUD;60;20210805;180000;62.1500000;13839
US1.BUD;60;20210805;190000;62.2200000;24140
US1.BUD;60;20210805;200000;61.8300000;9100
US1.BUD;60;20210805;210000;61.8700000;7863
US1.BUD;60;20210805;220000;61.8000000;15517
US1.BUD;60;20210805;230000;61.8400000;26105
US1.BUD;60;20210806;170000;62.1400000;17804
US1.BUD;60;20210806;180000;61.5700000;20155
US1.BUD;60;20210806;190000;61.6800000;14092
US1.BUD;60;20210806;200000;61.6900000;6686
US1.BUD;60;20210806;210000;61.7000000;4762
US1.BUD;60;20210806;220000;61.7500000;3039
US1.BUD;60;20210806;230000;61.7000000;16522
US1.BUD;60;20210809;170000;61.0200000;9590
US1.BUD;60;20210809;180000;60.7900000;10513
US1.BUD;60;20210809;190000;60.8600000;8805
US1.BUD;60;20210809;200000;60.8200000;8626
US1.BUD;60;20210809;210000;61.0800000;3339
US1.BUD;60;20210809;220000;61.0900000;4100
US1.BUD;60;20210809;230000;60.9100000;9242
