<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
US1.FIZZ;60;02/08/21;170000;45.3000000;880
US1.FIZZ;60;02/08/21;180000;45.5300000;400
US1.FIZZ;60;02/08/21;190000;45.9000000;500
US1.FIZZ;60;02/08/21;200000;45.7300000;200
US1.FIZZ;60;02/08/21;220000;45.4100000;600
US1.FIZZ;60;02/08/21;230000;45.4300000;2677
US1.FIZZ;60;03/08/21;170000;45.7500000;365
US1.FIZZ;60;03/08/21;180000;45.6400000;400
US1.FIZZ;60;03/08/21;190000;45.3500000;200
US1.FIZZ;60;03/08/21;200000;45.5100000;100
US1.FIZZ;60;03/08/21;210000;45.3900000;100
US1.FIZZ;60;03/08/21;220000;45.6500000;405
US1.FIZZ;60;03/08/21;230000;45.5200000;900
US1.FIZZ;60;04/08/21;170000;45.8000000;100
US1.FIZZ;60;04/08/21;180000;44.9500000;355
US1.FIZZ;60;04/08/21;200000;43.7800000;300
US1.FIZZ;60;04/08/21;210000;43.3700000;700
US1.FIZZ;60;04/08/21;220000;43.6100000;1026
US1.FIZZ;60;04/08/21;230000;43.4200000;3782
US1.FIZZ;60;05/08/21;180000;44.1300000;100
US1.FIZZ;60;05/08/21;190000;44.2800000;741
US1.FIZZ;60;05/08/21;200000;43.9100000;800
US1.FIZZ;60;05/08/21;210000;44.0700000;400
US1.FIZZ;60;05/08/21;220000;44.2300000;500
US1.FIZZ;60;05/08/21;230000;44.1000000;1400
US1.FIZZ;60;06/08/21;170000;44.7900000;1924
US1.FIZZ;60;06/08/21;180000;44.8200000;300
US1.FIZZ;60;06/08/21;190000;44.7300000;200
US1.FIZZ;60;06/08/21;200000;44.6800000;200
US1.FIZZ;60;06/08/21;220000;44.6100000;100
US1.FIZZ;60;06/08/21;230000;44.2700000;400
US1.FIZZ;60;09/08/21;170000;44.3000000;2420
US1.FIZZ;60;09/08/21;180000;44.1100000;600
US1.FIZZ;60;09/08/21;190000;44.2400000;200
US1.FIZZ;60;09/08/21;200000;43.8600000;400
US1.FIZZ;60;09/08/21;210000;44.1700000;300
US1.FIZZ;60;09/08/21;230000;44.4800000;400
