<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
US1.PEP;60;02/08/21;170000;155.8600000;17494
US1.PEP;60;02/08/21;180000;156.6700000;27788
US1.PEP;60;02/08/21;190000;156.5800000;14809
US1.PEP;60;02/08/21;200000;156.2700000;21006
US1.PEP;60;02/08/21;210000;156.1300000;15010
US1.PEP;60;02/08/21;220000;156.1200000;21846
US1.PEP;60;02/08/21;230000;156.3200000;59000
US1.PEP;60;03/08/21;170000;156.7000000;9596
US1.PEP;60;03/08/21;180000;156.9200000;32022
US1.PEP;60;03/08/21;190000;157.0600000;25178
US1.PEP;60;03/08/21;200000;156.6200000;12757
US1.PEP;60;03/08/21;210000;156.5800000;6254
US1.PEP;60;03/08/21;220000;156.5300000;15925
US1.PEP;60;03/08/21;230000;156.6800000;45682
US1.PEP;60;04/08/21;170000;155.7200000;13951
US1.PEP;60;04/08/21;180000;154.5100000;53269
US1.PEP;60;04/08/21;190000;154.7800000;46492
US1.PEP;60;04/08/21;200000;154.2900000;22909
US1.PEP;60;04/08/21;210000;154.0500000;26356
US1.PEP;60;04/08/21;220000;154.0600000;27584
US1.PEP;60;04/08/21;230000;154.0700000;93237
US1.PEP;60;05/08/21;170000;154.3700000;13414
US1.PEP;60;05/08/21;180000;154.5900000;24476
US1.PEP;60;05/08/21;190000;154.5400000;23811
US1.PEP;60;05/08/21;200000;154.5800000;11628
US1.PEP;60;05/08/21;210000;154.4900000;8525
US1.PEP;60;05/08/21;220000;153.9700000;39545
US1.PEP;60;05/08/21;230000;154.2800000;75865
US1.PEP;60;06/08/21;170000;153.8900000;36830
US1.PEP;60;06/08/21;180000;154.2900000;42240
US1.PEP;60;06/08/21;190000;154.2200000;24390
US1.PEP;60;06/08/21;200000;154.4000000;13834
US1.PEP;60;06/08/21;210000;154.5900000;16904
US1.PEP;60;06/08/21;220000;154.4000000;20504
US1.PEP;60;06/08/21;230000;154.3400000;49684
US1.PEP;60;09/08/21;170000;154.1100000;8498
US1.PEP;60;09/08/21;180000;153.9300000;20024
US1.PEP;60;09/08/21;190000;153.9800000;13392
US1.PEP;60;09/08/21;200000;153.7500000;12296
US1.PEP;60;09/08/21;210000;154.0600000;9757
US1.PEP;60;09/08/21;220000;154.1100000;23334
US1.PEP;60;09/08/21;230000;154.3500000;37257
