<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
US1.SBUX;60;02/08/21;170000;120.9400000;48442
US1.SBUX;60;02/08/21;180000;121.0900000;65180
US1.SBUX;60;02/08/21;190000;120.5200000;47965
US1.SBUX;60;02/08/21;200000;120.4800000;25226
US1.SBUX;60;02/08/21;210000;120.4500000;30251
US1.SBUX;60;02/08/21;220000;120.6000000;22919
US1.SBUX;60;02/08/21;230000;120.3500000;104181
US1.SBUX;60;03/08/21;000000;120.3500000;100
US1.SBUX;60;03/08/21;170000;118.6900000;30903
US1.SBUX;60;03/08/21;180000;118.2200000;69225
US1.SBUX;60;03/08/21;190000;118.1600000;63156
US1.SBUX;60;03/08/21;200000;117.9400000;47674
US1.SBUX;60;03/08/21;210000;118.1600000;40760
US1.SBUX;60;03/08/21;220000;118.2500000;48771
US1.SBUX;60;03/08/21;230000;119.1600000;110595
US1.SBUX;60;04/08/21;170000;118.6200000;26736
US1.SBUX;60;04/08/21;180000;117.7000000;79352
US1.SBUX;60;04/08/21;190000;117.8300000;38254
US1.SBUX;60;04/08/21;200000;117.9900000;23154
US1.SBUX;60;04/08/21;210000;118.0700000;20839
US1.SBUX;60;04/08/21;220000;118.1000000;33384
US1.SBUX;60;04/08/21;230000;118.2400000;92494
US1.SBUX;60;05/08/21;170000;118.6000000;30573
US1.SBUX;60;05/08/21;180000;118.5400000;53681
US1.SBUX;60;05/08/21;190000;118.5100000;29368
US1.SBUX;60;05/08/21;200000;118.1700000;18188
US1.SBUX;60;05/08/21;210000;118.6200000;21087
US1.SBUX;60;05/08/21;220000;118.5700000;16337
US1.SBUX;60;05/08/21;230000;119.0500000;53225
US1.SBUX;60;06/08/21;170000;118.3900000;29657
US1.SBUX;60;06/08/21;180000;118.2200000;33971
US1.SBUX;60;06/08/21;190000;118.4200000;38729
US1.SBUX;60;06/08/21;200000;118.6000000;19000
US1.SBUX;60;06/08/21;210000;118.9400000;20959
US1.SBUX;60;06/08/21;220000;118.7800000;33483
US1.SBUX;60;06/08/21;230000;119.0550000;92124
US1.SBUX;60;09/08/21;170000;118.1300000;27871
US1.SBUX;60;09/08/21;180000;118.4000000;47211
US1.SBUX;60;09/08/21;190000;118.1100000;50084
US1.SBUX;60;09/08/21;200000;117.9500000;33939
US1.SBUX;60;09/08/21;210000;117.9500000;23716
US1.SBUX;60;09/08/21;220000;118.0200000;25850
US1.SBUX;60;09/08/21;230000;117.9400000;50822
