<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
US1.KHC;60;20210802;170000;38.5300000;36589
US1.KHC;60;20210802;180000;38.4300000;13882
US1.KHC;60;20210802;190000;38.6000000;10809
US1.KHC;60;20210802;200000;38.5300000;14390
US1.KHC;60;20210802;210000;38.5300000;9534
US1.KHC;60;20210802;220000;38.5500000;9123
US1.KHC;60;20210802;230000;38.5700000;77548
US1.KHC;60;20210803;170000;38.5500000;20939
US1.KHC;60;20210803;180000;38.9800000;34484
US1.KHC;60;20210803;190000;39.0200000;27021
US1.KHC;60;20210803;200000;38.9950000;22624
US1.KHC;60;20210803;210000;39.0100000;28005
US1.KHC;60;20210803;220000;38.9100000;26662
US1.KHC;60;20210803;230000;38.9300000;78216
US1.KHC;60;20210804;170000;37.5100000;83000
US1.KHC;60;20210804;180000;37.5700000;88050
US1.KHC;60;20210804;190000;37.3400000;63382
US1.KHC;60;20210804;200000;36.8700000;57329
US1.KHC;60;20210804;210000;36.9500000;35633
US1.KHC;60;20210804;220000;36.9100000;24033
US1.KHC;60;20210804;230000;36.9400000;145407
US1.KHC;60;20210805;170000;36.5500000;74139
US1.KHC;60;20210805;180000;37.1400000;103203
US1.KHC;60;20210805;190000;37.0800000;96645
US1.KHC;60;20210805;200000;37.0500000;38810
US1.KHC;60;20210805;210000;37.1800000;32541
US1.KHC;60;20210805;220000;37.2000000;33919
US1.KHC;60;20210805;230000;36.9400000;198689
US1.KHC;60;20210806;170000;37.1000000;45329
US1.KHC;60;20210806;180000;37.1700000;99330
US1.KHC;60;20210806;190000;37.1300000;73531
US1.KHC;60;20210806;200000;37.3400000;45144
US1.KHC;60;20210806;210000;37.3400000;56906
US1.KHC;60;20210806;220000;37.3600000;47603
US1.KHC;60;20210806;230000;37.1900000;142123
US1.KHC;60;20210809;170000;37.2700000;16800
US1.KHC;60;20210809;180000;37.0300000;27058
US1.KHC;60;20210809;190000;37.2100000;28718
US1.KHC;60;20210809;200000;37.0700000;15218
US1.KHC;60;20210809;210000;37.1500000;13100
US1.KHC;60;20210809;220000;37.2500000;16946
US1.KHC;60;20210809;230000;37.3300000;100778
