<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
US1.MNST;60;02/08/21;170000;93.1900000;13219
US1.MNST;60;02/08/21;180000;93.8900000;11679
US1.MNST;60;02/08/21;190000;93.6200000;2358
US1.MNST;60;02/08/21;200000;93.2100000;2247
US1.MNST;60;02/08/21;210000;92.9800000;3467
US1.MNST;60;02/08/21;220000;93.1000000;3437
US1.MNST;60;02/08/21;230000;93.3500000;28186
US1.MNST;60;03/08/21;170000;93.1900000;2779
US1.MNST;60;03/08/21;180000;92.8400000;9261
US1.MNST;60;03/08/21;190000;92.8300000;3100
US1.MNST;60;03/08/21;200000;92.5000000;5069
US1.MNST;60;03/08/21;210000;92.2600000;21852
US1.MNST;60;03/08/21;220000;92.3000000;2699
US1.MNST;60;03/08/21;230000;93.0400000;16790
US1.MNST;60;04/08/21;170000;93.2700000;3044
US1.MNST;60;04/08/21;180000;92.2000000;5558
US1.MNST;60;04/08/21;190000;92.2900000;3400
US1.MNST;60;04/08/21;200000;92.3700000;1700
US1.MNST;60;04/08/21;210000;92.4600000;3438
US1.MNST;60;04/08/21;220000;92.0400000;7052
US1.MNST;60;04/08/21;230000;92.0300000;15282
US1.MNST;60;05/08/21;170000;92.0900000;2991
US1.MNST;60;05/08/21;180000;92.3300000;4485
US1.MNST;60;05/08/21;190000;91.8500000;4011
US1.MNST;60;05/08/21;200000;92.3400000;3439
US1.MNST;60;05/08/21;210000;92.1700000;5825
US1.MNST;60;05/08/21;220000;92.1800000;5250
US1.MNST;60;05/08/21;230000;91.9500000;27186
US1.MNST;60;06/08/21;170000;94.7150000;15777
US1.MNST;60;06/08/21;180000;95.6400000;35597
US1.MNST;60;06/08/21;190000;97.4300000;29929
US1.MNST;60;06/08/21;200000;97.3100000;31680
US1.MNST;60;06/08/21;210000;97.9400000;30218
US1.MNST;60;06/08/21;220000;97.0700000;12731
US1.MNST;60;06/08/21;230000;96.9500000;57110
US1.MNST;60;09/08/21;170000;98.1600000;5673
US1.MNST;60;09/08/21;180000;98.3000000;16430
US1.MNST;60;09/08/21;190000;98.8200000;15656
US1.MNST;60;09/08/21;200000;98.2000000;7702
US1.MNST;60;09/08/21;210000;98.3200000;6839
US1.MNST;60;09/08/21;220000;98.6700000;5968
US1.MNST;60;09/08/21;230000;98.4400000;28979
